;0101;0102;0103;0104;0105;0106;0107;0108;0109;0110;0111;0112;0113;0114;0115;0116;0117;0118;0119;0120;0121;0122;0123;0124
0101;0;1;0;0;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;1;1;0;1;0
0102;1;0;1;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0
0103;0;1;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0
0104;0;0;0;0;0;0;1;1;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0
0105;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0
0106;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;1;1;0;0
0107;0;1;1;1;0;0;0;1;1;0;0;0;1;1;1;1;0;1;0;1;0;0;1;1
0108;0;1;1;1;0;0;1;0;1;0;0;1;1;1;1;1;0;1;0;1;0;0;0;0
0109;0;0;1;0;0;0;1;1;0;0;0;1;0;1;1;1;0;1;0;1;0;0;0;0
0110;1;1;0;0;1;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;1;1;0;0
0111;1;0;0;0;1;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;1;1;0;0
0112;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;0;1;0
0113;0;1;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;1;0;0;1
0114;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;1;1;1;1;0;1
0115;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0
0116;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1
0117;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;0;1;0;0
0118;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
0119;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0
0120;1;1;1;1;0;0;1;1;1;1;0;1;1;1;0;1;0;1;0;0;1;0;1;1
0121;1;1;1;0;0;1;1;0;0;1;1;1;1;0;1;1;0;1;1;1;0;0;1;0
0122;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0
0123;1;1;0;0;1;0;0;0;0;1;1;1;1;1;0;0;1;0;1;0;1;1;0;0
0124;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0;0;0;0
